ds_cargo;sg_uf;nr_turno;sg_partido;qt_votos_validos;dt_carga
Presidente;AC;2;PSDB;319735;11/05/2022 16:44
Presidente;AC;2;PT;319735;11/05/2022 16:44
Presidente;AL;2;PSDB;1374604;11/05/2022 16:44
Presidente;AL;2;PT;1374604;11/05/2022 16:44
Presidente;AM;2;PSDB;1416940;11/05/2022 16:44
Presidente;AM;2;PT;1416940;11/05/2022 16:44
Presidente;AP;2;PSDB;317004;11/05/2022 16:44
Presidente;AP;2;PT;317004;11/05/2022 16:44
Presidente;BA;2;PSDB;6685663;11/05/2022 16:44
Presidente;BA;2;PT;6685663;11/05/2022 16:44
Presidente;CE;2;PSDB;4251299;11/05/2022 16:44
Presidente;CE;2;PT;4251299;11/05/2022 16:44
Presidente;DF;2;PSDB;1341973;11/05/2022 16:44
Presidente;DF;2;PT;1341973;11/05/2022 16:44
Presidente;ES;2;PSDB;1879469;11/05/2022 16:44
Presidente;ES;2;PT;1879469;11/05/2022 16:44
Presidente;GO;2;PSDB;2936546;11/05/2022 16:44
Presidente;GO;2;PT;2936546;11/05/2022 16:44
Presidente;MA;2;PSDB;2900595;11/05/2022 16:44
Presidente;MA;2;PT;2900595;11/05/2022 16:44
Presidente;MG;2;PSDB;10642419;11/05/2022 16:44
Presidente;MG;2;PT;10642419;11/05/2022 16:44
Presidente;MS;2;PSDB;1237588;11/05/2022 16:44
Presidente;MS;2;PT;1237588;11/05/2022 16:44
Presidente;MT;2;PSDB;1492652;11/05/2022 16:44
Presidente;MT;2;PT;1492652;11/05/2022 16:44
Presidente;PA;2;PSDB;3367597;11/05/2022 16:44
Presidente;PA;2;PT;3367597;11/05/2022 16:44
Presidente;PB;2;PSDB;1997310;11/05/2022 16:44
Presidente;PB;2;PT;1997310;11/05/2022 16:44
Presidente;PE;2;PSDB;4571188;11/05/2022 16:44
Presidente;PE;2;PT;4571188;11/05/2022 16:44
Presidente;PI;2;PSDB;1589472;11/05/2022 16:44
Presidente;PI;2;PT;1589472;11/05/2022 16:44
Presidente;PR;2;PSDB;5819302;11/05/2022 16:44
Presidente;PR;2;PT;5819302;11/05/2022 16:44
Presidente;RJ;2;PSDB;8157968;11/05/2022 16:44
Presidente;RJ;2;PT;8157968;11/05/2022 16:44
Presidente;RN;2;PSDB;1645498;11/05/2022 16:44
Presidente;RN;2;PT;1645498;11/05/2022 16:44
Presidente;RO;2;PSDB;732873;11/05/2022 16:44
Presidente;RO;2;PT;732873;11/05/2022 16:44
Presidente;RR;2;PSDB;213176;11/05/2022 16:44
Presidente;RR;2;PT;213176;11/05/2022 16:44
Presidente;RS;2;PSDB;6354968;11/05/2022 16:44
Presidente;RS;2;PT;6354968;11/05/2022 16:44
Presidente;SC;2;PSDB;3586361;11/05/2022 16:44
Presidente;SC;2;PT;3586361;11/05/2022 16:44
Presidente;SE;2;PSDB;1062142;11/05/2022 16:44
Presidente;SE;2;PT;1062142;11/05/2022 16:44
Presidente;SP;2;PSDB;22770930;11/05/2022 16:44
Presidente;SP;2;PT;22770930;11/05/2022 16:44
Presidente;TO;2;PSDB;664585;11/05/2022 16:44
Presidente;TO;2;PT;664585;11/05/2022 16:44
;;;;;
;;;;;
;;;;;
;;;;;
